DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES;
USA;AXM;110;108082;457256555;
PAN;AXM;21;18547;78465123;
DEU;BOG;576;4475;18142683;
DEU;BOG;84;525;2221070;
DEU;BOG;30;114;482289;
DEU;BOG;90;313;1326296;
DEU;BOG;5;30;129879;
DEU;BOG;144;768;3249108;
DEU;BOG;8;37;156532;
DEU;BOG;32;33556;142239359;
DEU;BOG;20;3280;13876400;
DEU;BOG;50;7741;32750844;
DEU;BOG;18;6624;28023560;
DEU;BOG;25;6200;26229781;
DEU;BOG;30;4920;20814601;
DEU;BOG;35;6860;29021984;
DEU;BOG;20;2560;10830361;
DEU;BOG;1031;107926;456245758;
DEU;BOG;2;11612;48933125;
DEU;BOG;8960;1612;6823127;
DEU;BOG;140;200771;846571856;
DEU;BOG;4900;882;3715425;
DEU;BOG;14400;2592;10918800;
DEU;BOG;10555;1891;8006464;
DEU;BOG;37203;6639;28097487;
DEU;BOG;58832;15773;66022338;
DEU;BOG;2825;452;1912235;
DEU;BOG;23620;4263;17894159;
DEU;BOG;9;18;76537;
DEU;BOG;49;144;614427;
DEU;BOG;78;195;829157;
DEU;BOG;20;75;318906;
DEU;BOG;270;1030;4381778;
DEU;BOG;99;367;1561367;
DEU;BOG;81;276;1177403;
DEU;BOG;196;1008;4286106;
DEU;BOG;1770;7254;30844660;
DEU;BOG;29;164;697342;
DEU;BOG;32;121;516628;
DEU;BOG;140;3176;13465130;
DEU;BOG;30;45144;190572836;
DEU;BOG;284;98500;417526725;
DEU;BOG;0;61500;260689275;
DEU;BOG;106196;28408;119702134;
DEU;BOG;10;619;2554413;
DEU;BOG;270;9614;39617206;
DEU;BOG;12;353;1456803;
DEU;BOG;1;60;250533;
DEU;BOG;32;150;637350;
DEU;BOG;3;120;494474;
DEU;BOG;1;3710;16274508;
DEU;BOG;31;2409;10154150;
DEU;BOG;4;327;1381592;
DEU;BOG;27;3172;13366797;
DEU;BOG;8;3407;13811565;
DEU;BOG;24;1519;6377092;
DEU;BOG;2;100;405376;
DEU;BOG;2;5499;22662503;
DEU;BOG;37600;6812;28848854;
DEU;BOG;11520;2073;8735040;
DEU;BOG;63680;11503;48459926;
DEU;BOG;4400;836;3552164;
DEU;BOG;8800;1672;7104328;
DEU;BOG;5476;930;3921500;
DEU;BOG;16438;3463;14591257;
DEU;BOG;2802;3965;16778345;
DEU;BOG;1;2402;9948708;
DEU;BOG;1;361;1499114;
DEU;BOG;1;2681;11107108;
DEU;BOG;50;434;1846498;
DEU;BOG;300;684;2908926;
DEU;BOG;24480;4892;20786108;
DEU;BOG;2250;672;2842969;
DEU;BOG;26256;28491;120021960;
DEU;BOG;23220;3199;13508872;
DEU;BOG;70780;10801;45620438;
DEU;BOG;1800;924;3918816;
DEU;BOG;1550;10122;42949604;
DEU;BOG;0;55000;222956800;
DEU;BOG;2714;3214;14101532;
DEU;BOG;125;9440;39906561;
DEU;BOG;7100;1278;5383575;
DEU;BOG;41367;7450;31383377;
DEU;BOG;1;639;2717702;
DEU;BOG;246;2081;8649213;
DEU;BOG;7537;41130;174343900;
DEU;BOG;1300;7800;33063030;
DEU;BOG;2;1;4238;
DEU;BOG;180;477;2021931;
DEU;BOG;3420;18183;77078400;
DEU;BOG;4800;624;2639900;
DEU;BOG;20;84;360152;
DEU;BOG;25;112;481099;
DEU;BOG;130;489;2080932;
DEU;BOG;26;112;480273;
DEU;BOG;10;4;16927;
DEU;BOG;13;157;670597;
DEU;BOG;216;808;3514385;
DEU;BOG;70;329;1419720;
DEU;BOG;1125;5884;25281881;
DEU;BOG;17;86;367380;
DEU;BOG;1000;122;514645;
DEU;BOG;319;5782;24295641;
DEU;BOG;253671;1388;5812030;
DEU;BOG;2040;277;1169123;
DEU;BOG;2380;323;1363977;
DEU;BOG;40200;6518;27682159;
DEU;BOG;230280;36884;156569128;
DEU;BOG;180;27;118439;
DEU;BOG;4760;618;2617901;
DEU;BOG;2380;309;1308950;
DEU;BOG;13320;2131;9009413;
DEU;BOG;91980;13690;57890365;
DEU;BOG;8160;2448;10245904;
DEU;BOG;8;8800;37301880;
DEU;BOG;2;2200;9325470;
DEU;BOG;4856;39695;167215187;
DEU;BOG;834;8;35294;
DEU;BOG;32845;4646;18835795;
DEU;BOG;3381;2458783;10373020843;
DEU;BOG;560;19753;83595034;
DEU;BOG;2162;63863;280149127;
DEU;BOG;300;883;3638919;
ARM;BOG;60;0;494;
ARM;BOG;448;1468;6443126;
ARM;BOG;800;148;601002;
ARM;BOG;1540;246;1080873;
ARM;BOG;37690;5653;24799982;
ARM;BOG;10560;3270;14256981;
ARM;BOG;700;126;534095;
ABW;BOG;2864;977;4289539;
ABW;BOG;2532;866;3799900;
ABW;BOG;1593;464;2037866;
ABW;BOG;25;387;1699830;
ABW;BOG;156;107;470864;
ABW;BOG;161;651;2856812;
ABW;BOG;4325;1384;5855164;
ABW;BOG;3340;1563;6614558;
ABW;BOG;169;931;3939544;
ABW;BOG;13566;5148;21823549;
ABW;BOG;564;214;907325;
ABW;BOG;377;143;606494;
ABW;BOG;1317;499;2118662;
ABW;BOG;752;285;1209767;
ABW;BOG;376;142;604883;
ABW;BOG;29025;11015;46692289;
ABW;BOG;90;643;2728335;
ABW;BOG;30;87;361378;
ABW;BOG;120;313;1293545;
ABW;BOG;24;387;1636464;
ABW;BOG;344;5766;24341041;
ABW;BOG;75;2378;10038465;
ABW;BOG;347;7476;31559955;
ABW;BOG;41;205;858337;
ABW;BOG;8;18;75985;
ABW;BOG;4591;1390;6100308;
ABW;BOG;200;60;265743;
ABW;BOG;998;302;1326087;
ABW;BOG;798;241;1060343;
ABW;BOG;600;181;797231;
ABW;BOG;200;60;265743;
ABW;BOG;7985;2418;10610277;
ABW;BOG;71;362;1591831;
ABW;BOG;225;3300;13598046;
ABW;BOG;86;1444;5950999;
ABW;BOG;21;350;1445472;
ABW;BOG;113;3388;13963915;
ABW;BOG;241;5254;21651509;
ABW;BOG;60;1682;6933355;
ABW;BOG;228;4975;20501444;
ABW;BOG;12;54;225233;
